"ID","MWS","Group","Database","Layer","Name","provider","Level","Geocode","Type","Description","geojson","Year"
1,"MWS-013","Proposal","General Description","Table 2.1: Administrative details of MWS-013","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_2_1.csv",""
2,"MWS-013","Proposal","Land Cover /Land Use Types and Data","Table 2.2: Land use and land cover details of MWS-013","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_2_2.csv",""
3,"MWS-013","Proposal","Climate Details in MWS-013 ","Table 2.3: Monthly average rainfall details of the MWS-013","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_2_3.csv",""
4,"MWS-013","Proposal","Climate Details in MWS-013 ","Table 2.4: Monthly average temperature details of the MWS-013","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_2_4.csv",""
5,"MWS-013","Proposal","Population Demographics","Table 2.5: GN-wise demographic details of the MWS-013","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_2_5.csv",""
6,"MWS-013","Proposal","Population Demographics","Table 2.6: Age group categorization of the population of MWS-013 (GN-wise)","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_2_6.csv",""
7,"MWS-013","Proposal","Population Demographics","Table 2.7: Occupational details of the community of MWS-013 (GN-wise)","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_2_7.csv",""
8,"MWS-013","Proposal","Soil and Water Conservation","Table 5.1: Distribution of soil erosion hazard classes in MWS-013","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_5_1.csv",""
9,"MWS-013","Proposal","Soil and Water Conservation","Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-013 belongs to Hanguranketha DS Division","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_5_2.csv",""
10,"MWS-013","Proposal","Soil and Water Conservation","Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-013 belongs to Hanguranketha DS Division","","","","","","","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_5_3.csv",""
