Location,Katugastota,,Water Source,Mahaweli River,,,Station ID,MR1,,,,
,,,,,,,,,,,,
Date,3/1/2020,3/1/2021,1/1/2023,4/1/2023,6/1/2023,7/1/2023,1/1/2024,3/1/2024,3/1/2026,3/2/2026,5/3/2026,6/3/2026
BOD,5,2,4,2,2,3,1,3,10,12,11.5,100
Chlorine,4,14,17,11,10,10,7,12,10,14,13,100
COD,12,11,8,12,4,6,12,4,10,12,10,100
Dissolved O2,7.5,6.9,8.4,7.3,7.5,7.2,7.7,6.6,10,14,14,100
Electrical Conductivity,0.08,0.07,0.27,0.12,0.06,0.11,0.13,0.16,10,15,12,100
Hardness,59,28,32,40,24,28,32,40,10,1,15,100
Nitrate (mg/l),0.03,,0.1,1.15,0.68,0.7,1.21,0.84,10,12,4,100
pH,7.7,7.1,8.5,8.2,8.6,8.4,7,6.5,10,14,3,100
Phosphate,0.01,,0.14,0.48,0.19,0.33,0.12,0.3,10,16,2,100
Temperature (Celsius),25.7,21.9,23.1,8.1,25.1,25.1,24.6,28.1,10,12,2,100
Turbidity (NTU),51,42,102,169,154,172,22,199,10,14,5,100
